hive_db=# SELECT table_schema, table_name
hive_db-# FROM information_schema.tables
hive_db-# WHERE table_type = 'BASE TABLE'
hive_db-# AND table_schema NOT IN ('pg_catalog', 'information_schema');
 table_schema |        table_name         
--------------+---------------------------
 public       | DBS
 public       | DB_PRIVS
 public       | IDXS
 public       | INDEX_PARAMS
 public       | GLOBAL_PRIVS
 public       | PARTITIONS
 public       | PARTITION_KEYS
 public       | NUCLEUS_TABLES
 public       | PARTITION_KEY_VALS
 public       | PARTITION_EVENTS
 public       | CTLGS
 public       | BUCKETING_COLS
 public       | CDS
 public       | DATABASE_PARAMS
 public       | PART_PRIVS
 public       | ROLES
 public       | PART_COL_PRIVS
 public       | SDS
 public       | SERDE_PARAMS
 public       | SEQUENCE_TABLE
 public       | SD_PARAMS
 public       | SORT_COLS
 public       | TABLE_PARAMS
 public       | SERDES
 public       | TBL_PRIVS
 public       | TYPES
 public       | MV_CREATION_METADATA
 public       | MV_TABLES_USED
 public       | SKEWED_VALUES
 public       | MASTER_KEYS
 public       | DELEGATION_TOKENS
 public       | SKEWED_STRING_LIST
 public       | SKEWED_COL_NAMES
 public       | SKEWED_COL_VALUE_LOC_MAP
 public       | TBLS
 public       | TBL_COL_PRIVS
 public       | TYPE_FIELDS
 public       | VERSION
 public       | TAB_COL_STATS
 public       | PART_COL_STATS
 public       | WM_RESOURCEPLAN
 public       | NOTIFICATION_LOG
 public       | NOTIFICATION_SEQUENCE
 public       | KEY_CONSTRAINTS
 public       | METASTORE_DB_PROPERTIES
 public       | FUNCS
 public       | FUNC_RU
 public       | WM_POOL_TO_TRIGGER
 public       | WM_TRIGGER
 public       | WM_MAPPING
 public       | SKEWED_STRING_LIST_VALUES
 public       | COLUMNS_V2
 public       | PARTITION_PARAMS
 public       | ROLE_MAP
 public       | WM_POOL
 public       | hive_locks
 public       | txns
 public       | txn_components
 public       | completed_txn_components
 public       | next_txn_id
 public       | next_lock_id
 public       | compaction_queue
 public       | next_compaction_queue_id
 public       | completed_compactions
 public       | aux_table
 public       | write_set
 public       | txn_to_write_id
 public       | next_write_id
 public       | min_history_level
 public       | I_SCHEMA
 public       | SCHEMA_VERSION
 public       | repl_txn_map
 public       | runtime_stats
